Wed Sep 30 2020 10:53:01 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged out: author2
Wed Sep 30 2020 10:53:34 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: author2
Wed Sep 30 2020 10:54:30 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged out: author2
Wed Sep 30 2020 10:54:35 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: author2
Wed Sep 30 2020 10:58:28 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged out: author2
Wed Sep 30 2020 10:58:35 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: guest
Wed Sep 30 2020 10:59:15 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged out: guest
Wed Sep 30 2020 10:59:22 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: author
Wed Sep 30 2020 10:59:29 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged out: author
Wed Sep 30 2020 11:19:28 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | Failed login attempt: harsh
Wed Sep 30 2020 11:20:15 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | Failed login attempt: harsh
Wed Sep 30 2020 14:17:44 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: undefined
Wed Sep 30 2020 14:17:56 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: harsh
Wed Sep 30 2020 14:18:07 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: harsh
Wed Sep 30 2020 14:21:46 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: undefined
Wed Sep 30 2020 14:22:03 GMT-0700 (Mountain Standard Time) | ::1 | INFO | Failed login attempt: undefined
Wed Sep 30 2020 14:25:01 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged in: guest
Wed Sep 30 2020 14:25:08 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.18 | INFO | User logged out: guest
Wed Sep 30 2020 15:44:37 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: guest
Wed Sep 30 2020 15:50:47 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: guest
Wed Sep 30 2020 15:51:01 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: guest
Wed Sep 30 2020 15:51:13 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Wed Sep 30 2020 15:51:35 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Wed Sep 30 2020 15:51:47 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author2
Wed Sep 30 2020 15:54:44 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author2
Wed Sep 30 2020 15:54:54 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author2
Wed Sep 30 2020 15:55:00 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Wed Sep 30 2020 15:55:30 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Wed Sep 30 2020 16:23:19 GMT-0700 (Mountain Standard Time) | ::1 | INFO | User logged in: guest
Wed Sep 30 2020 17:07:22 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: author
Wed Sep 30 2020 17:07:33 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: author
Wed Sep 30 2020 17:07:56 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | Failed login attempt: guest
Wed Sep 30 2020 17:08:08 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: guest
Wed Sep 30 2020 17:09:37 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: guest
Wed Sep 30 2020 17:11:51 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | Failed login attempt: subscriber
Wed Sep 30 2020 17:12:05 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: subscriber
Wed Sep 30 2020 17:12:40 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged in: subscriber
Wed Sep 30 2020 17:12:42 GMT-0700 (Mountain Standard Time) | ::ffff:192.168.0.82 | INFO | User logged out: subscriber
